name,active_status,address,geo,region,coordinators
Frisco Sunday - Amazing Children's Montessori,TRUE,"11445 Independence Pkwy, Frisco, TX 75035, USA","{
  ""geo"": {
    ""lat"": ""33.1717702"",
    ""long"": ""-96.75116330000003""
  }
}","DFW,USA-South West",siva.tumuluru@manabadi.siliconandhra.org
Frisco Saturday - Children's LightHouse,TRUE,"10660 Eldorado Parkway, Frisco, TX 75035, United States","{
  ""geo"": {
    ""lat"": ""33.1750921"",
    ""long"": ""-96.787815099999989""
  }
}","DFW,USA-South West",ravikumar.boneni@manabadi.siliconandhra.org
Dubai-Sharjah,TRUE,,"{
  ""geo"": null
}",Dubai,
Greater Vancouver,TRUE,"10350 University Dr, Surrey, BC V3T 4C3, Canada","{
  ""geo"": {
    ""lat"": ""49.190435399999991"",
    ""long"": ""-122.84959420000001""
  }
}",Canada,"venkat.gangavarapu@manabadi.siliconandhra.org,sreedhar.gaddam@manabadi.siliconandhra.org"
Markham - Scarborough (Greater Toronto Area),TRUE,"399 Elson St, Markham, ON L3S 4R8, Canada","{
  ""geo"": {
    ""lat"": ""43.8447012"",
    ""long"": ""-79.2445863""
  }
}",Canada,"geethalakshmi.desu@manabadi.siliconandhra.org,chandrahasareddy.challa@manabadi.siliconandhra.org"
North York ( Greater Toronto Area),TRUE,"55 Forest Manor Rd, North York, ON M2J 1G3, Canada","{
  ""geo"": {
    ""lat"": ""43.772583899999987"",
    ""long"": ""-79.3438654""
  }
}",Canada,"lakshmi.darsipudi@manabadi.siliconandhra.org,venkatadurga.bandarupalli@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Intinta ManaBadi - (Canada - Online Weekends),TRUE,"Quebec City, QC, Canada","{
  ""geo"": {
    ""lat"": ""46.8138783"",
    ""long"": ""-71.2079809""
  }
}",Canada,"padmini.paduchuri@manabadi.siliconandhra.org,venkat.nukala@manabadi.siliconandhra.org"
Mississauga  (Greater Toronto Area),TRUE,"6300 Mississauga Road, Mississauga, ON, Canada","{
  ""geo"": {
    ""lat"": ""43.593699999999991"",
    ""long"": ""-79.730651500000022""
  }
}",Canada,"venkat.nukala@manabadi.siliconandhra.org,jayanthi.namuduri@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Montreal - Quebec,TRUE,"17 Rue des Lilas, Kirkland, QC H9J 4A6, Canada","{
  ""geo"": {
    ""lat"": ""45.446430100000008"",
    ""long"": ""-73.882237199999992""
  }
}",Canada,"lakshmi.tata@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Regina,TRUE,"1203n Smishek Dr, Regina, SK S4X 4M3, Canada","{
  ""geo"": {
    ""lat"": ""50.497623900000008"",
    ""long"": ""-104.6564076""
  }
}",Canada,"prasad.gundubogula@manabadi.siliconandhra.org,swarnalatha.katralapalli@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Ajax (Greater Toronto Area),TRUE,"39 Kerrison Dr W, Ajax, ON L1Z 1K2, Canada","{
  ""geo"": {
    ""lat"": ""43.8695456"",
    ""long"": ""-79.0276371""
  }
}",Canada,"nehru.malireddy@manabadi.siliconandhra.org,pradeep.kanamarlapudi@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Milton - Toronto,TRUE,"1241 Newell Street, Milton, ON, Canada","{
  ""geo"": {
    ""lat"": ""43.5361436"",
    ""long"": ""-79.8600998""
  }
}",Canada,neelima.chinta@manabadi.siliconandhra.org
Vaughan-Woodbridge ( Greater Toronto Area),TRUE,"120 Napa Valley Ave, Woodbridge, Vaughan, ON, Canada","{
  ""geo"": {
    ""lat"": ""43.8146636"",
    ""long"": ""-79.61970789999998""
  }
}",Canada,"smtlakshmi.nanga@manabadi.siliconandhra.org,geethalakshmi.desu@manabadi.siliconandhra.org"
Abu Halifa - Kuwait,TRUE,,"{
  ""geo"": null
}",Kuwait,
Oslo- Norway,TRUE,,"{
  ""geo"": null
}",Norway,
"Lagos, Nigeria",TRUE,,"{
  ""geo"": null
}",Nigeria,
Aurora-Naperville (Chicago),TRUE,"1635, Emerson Lane, Naperville, IL, 60540, United States","{
  ""geo"": {
    ""lat"": ""41.758252"",
    ""long"": ""-88.18885499999999""
  }
}","Illinois,USA-Mid West","kiran.mattey@manabadi.siliconandhra.org,sujatha.appalaneni@manabadi.siliconandhra.org,malathi.damaraju@manabadi.siliconandhra.org"
West Dundee - Crystal Lake,TRUE,"516, Washington Street, West Dundee, IL, 60118, United States","{
  ""geo"": {
    ""lat"": ""42.0994225"",
    ""long"": ""-88.2835867""
  }
}","Illinois,USA-Mid West",manjula.bhamidi@manabadi.siliconandhra.org
Schaumburg - Salem Community Church,TRUE,"10 S Walnut Ln, Schaumburg, IL 60193, USA","{
  ""geo"": {
    ""lat"": ""42.0249113"",
    ""long"": ""-88.129481899999973""
  }
}","Illinois,USA-Mid West",padma.vellanki@manabadi.siliconandhra.org
"Kuala Lumpur, Malaysia",TRUE,,"{
  ""geo"": null
}",Malaysia,
Troy South (BigBeaver & Livernois - ZION CHURCH),TRUE,"3668 Livernois Rd, Troy, MI 48083, USA","{
  ""geo"": {
    ""lat"": ""42.5722914"",
    ""long"": ""-83.146305499999983""
  }
}","Michigan,USA-Mid West",kalyan.rachakonda@manabadi.siliconandhra.org
Canton (Hindu Temple),TRUE,"44955, Cherry Hill Road, Canton, MI, 48188, United States","{
  ""geo"": {
    ""lat"": ""42.3061234"",
    ""long"": ""-83.482886899999983""
  }
}","Michigan,USA-Mid West",chaitanya.katragadda@manabadi.siliconandhra.org
Troy (Life Christian Church),TRUE,"3153 Rochester Rd, Troy, MI 48083, USA","{
  ""geo"": {
    ""lat"": ""42.565265"",
    ""long"": ""-83.128920699999981""
  }
}","Michigan,USA-Mid West",kalyan.rachakonda@manabadi.siliconandhra.org
Grand Rapids,TRUE,"1001, East Beltline Avenue Northeast, Grand Rapids, MI, 49525, United States","{
  ""geo"": {
    ""lat"": ""42.9801473"",
    ""long"": ""-85.59209229999999""
  }
}","Michigan,USA-Mid West",rajitha.vanteru@manabadi.siliconandhra.org
Ann Arbor,TRUE,"4800, East Huron River Drive, Ann Arbor, MI, 48105, United States","{
  ""geo"": {
    ""lat"": ""42.2628413"",
    ""long"": ""-83.6642584""
  }
}","Michigan,USA-Mid West",sirivahini.konuru@manabadi.siliconandhra.org
"Edinburgh-Scotland, UK",TRUE,"7 Weavers Knowe Crescent, Currie, Scotland EH14 5PJ, United Kingdom","{
  ""geo"": {
    ""lat"": ""55.8989902"",
    ""long"": ""-3.3138198999999986""
  }
}",Scotland,himabindu.jayanti@manabadi.siliconandhra.org
Bellevue Manabadi,TRUE,,"{
  ""geo"": null
}",USA-West,
Davis CA,TRUE,,"{
  ""geo"": null
}",USA-West,
Tracy,TRUE,,"{
  ""geo"": null
}",USA-West,
East bay Livermore,TRUE,,"{
  ""geo"": null
}",USA-West,
Natomas - Sacramento,TRUE,,"{
  ""geo"": null
}",USA-West,
Country Club Elementary,FALSE,,"{
  ""geo"": null
}",USA-West,
Davis Center,TRUE,,"{
  ""geo"": null
}",USA-West,
Redmond/Seattle,TRUE,,"{
  ""geo"": null
}",USA-West,
Campbell/Saratoga,FALSE,,"{
  ""geo"": null
}",USA-West,"vani.gundlapalli@manabadi.siliconandhra.org,deenababu.kondubhatla@manabadi.siliconandhra.org"
Diamond Bar,TRUE,,"{
  ""geo"": null
}",USA-West,
Santa Clara,TRUE,,"{
  ""geo"": null
}",USA-West,
Highland Ranch - Denver  (Colorado),TRUE,,"{
  ""geo"": null
}",USA-West,
Redlands,TRUE,"1119 Alexis Lane,Redlands,CA 92374","{
  ""geo"": {
    ""lat"": ""34.0826478"",
    ""long"": ""-117.1662488""
  }
}",USA-West,"mohan.katragadda@manabadi.siliconandhra.org,sangeetha.lanka@manabadi.siliconandhra.org"
Mountain View,TRUE,TBD,"{
  ""geo"": {
    ""lat"": ""37.3921075"",
    ""long"": ""-122.05587679999996""
  }
}",USA-West,"sridevi.ganti@manabadi.siliconandhra.org,raju.chamarthi@manabadi.siliconandhra.org"
Los Angeles,TRUE,10711 Rose Avenue los Angeles,"{
  ""geo"": {
    ""lat"": ""34.02695409999999"",
    ""long"": ""-118.41378409999999""
  }
}",USA-West,"danji.thotapalli@manabadi.siliconandhra.org,mohan.katragadda@manabadi.siliconandhra.org,pradeep.vadarevu@manabadi.siliconandhra.org"
Portland - Christ United Methodist Church,TRUE,"12755, Northwest Dogwood Street, Portland, OR, 97229, United States","{
  ""geo"": {
    ""lat"": ""45.5271765"",
    ""long"": ""-122.80915479999999""
  }
}",USA-West,yagnajyothy.vemuri@manabadi.siliconandhra.org
Colorado Springs,TRUE,"12603, Timberglen Terrace, Colorado Springs, CO, 80921, United States","{
  ""geo"": {
    ""lat"": ""39.015194"",
    ""long"": ""-104.79867100000001""
  }
}",USA-West,sandhya.karamsetty@manabadi.siliconandhra.org
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,"California, United States","{
  ""geo"": {
    ""lat"": ""36.778261"",
    ""long"": ""-119.41793239999998""
  }
}",USA-West,
Fremont South,TRUE,"41717 Palm Avenue, Fremont, CA, United States","{
  ""geo"": {
    ""lat"": ""37.5444113"",
    ""long"": ""-121.93428069999999""
  }
}",USA-West,
Fremont South,TRUE,"41717 Palm Avenue, Fremont, CA, United States","{
  ""geo"": {
    ""lat"": ""37.5444113"",
    ""long"": ""-121.93428069999999""
  }
}",USA-West,"krishnajayanthi.kotni@manabadi.siliconandhra.org,sridevi.ganti@manabadi.siliconandhra.org"
Boise,TRUE,"4333 E Arborvitae DR, Boise, ID 83716","{
  ""geo"": {
    ""lat"": ""43.546035"",
    ""long"": ""-116.13023759999999""
  }
}",USA-West,"sandhya.kistupati@manabadi.siliconandhra.org,anilkumar.akuleti@manabadi.siliconandhra.org"
Dummy,TRUE,"Hyderabad, Telangana, India","{
  ""geo"": {
    ""lat"": ""17.385044"",
    ""long"": ""78.486671""
  }
}",USA-West,sarma.adithe@manabadi.siliconandhra.org
Intinta ManaBadi(Online Every Saturday) - CST,TRUE,"El Paso, TX, United States","{
  ""geo"": {
    ""lat"": ""31.7618778"",
    ""long"": ""-106.4850217""
  }
}",USA-West,"bhaskar.rayavaram@manabadi.siliconandhra.org,padmini.paduchuri@manabadi.siliconandhra.org"
Intinta ManaBadi(Online Every Saturday) - PST,TRUE,"Bakersfield, CA, United States","{
  ""geo"": {
    ""lat"": ""35.3732921"",
    ""long"": ""-119.01871249999999""
  }
}",USA-West,"bhaskar.rayavaram@manabadi.siliconandhra.org,padmini.paduchuri@manabadi.siliconandhra.org"
Fresno - Clovis,TRUE,"7366 E Flint Way, Fresno, CA 93737, USA","{
  ""geo"": {
    ""lat"": ""36.787915"",
    ""long"": ""-119.658553""
  }
}",USA-West,praveen.yellinedi@manabadi.siliconandhra.org
Chino Hills,TRUE,"5816, Brushwood Court, Chino Hills, CA, 91709, United States","{
  ""geo"": {
    ""lat"": ""33.9505504"",
    ""long"": ""-117.67824439999998""
  }
}",USA-West,"dileep.madireddy@manabadi.siliconandhra.org,pradeepa.mandapaka1@manabadi.siliconandhra.org"
Glendora-Covina,TRUE,"177, East Covina Boulevard, Covina, CA, 91722, United States","{
  ""geo"": {
    ""lat"": ""34.0996164"",
    ""long"": ""-117.88825880000002""
  }
}",USA-West,"ahalya.nalla@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Las Vegas - Henderson,TRUE,"9731 S Eastern Ave, Las Vegas, NV 89183, USA","{
  ""geo"": {
    ""lat"": ""36.0121486"",
    ""long"": ""-115.12252699999999""
  }
}",USA-West,ravishankar.yellajosula@manabadi.siliconandhra.org
Denver,TRUE,"16082, East Aberdeen Avenue, Centennial, CO, 80016, United States","{
  ""geo"": {
    ""lat"": ""39.607964"",
    ""long"": ""-104.80168600000002""
  }
}",USA-West,lakshmi.talanki@manabadi.siliconandhra.org
Dougherty Elementary School,FALSE,,"{
  ""geo"": {
    ""lat"": ""41.7481"",
    ""long"": ""88.1656""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,On Line,"{
  ""geo"": {
    ""lat"": ""41.7481"",
    ""long"": ""88.1656""
  }
}",USA-West,
Intinta ManaBadi(On Line Every Saturday) - PST,TRUE,On Line,"{
  ""geo"": {
    ""lat"": ""41.7481"",
    ""long"": ""88.1656""
  }
}",USA-West,
Longmont,TRUE,"5839 Westerly Pl, Longmont, CO 80503, USA","{
  ""geo"": {
    ""lat"": ""40.1460958"",
    ""long"": ""-105.1771471""
  }
}",USA-West,"aruna.gundavarapu@manabadi.siliconandhra.org,nagreddy.gorla@manabadi.siliconandhra.org"
Livermore,TRUE,"133 Misty Circle, Livermore, CA 94550","{
  ""geo"": {
    ""lat"": ""37.7004634"",
    ""long"": ""-121.71752200000003""
  }
}",USA-West,"venkatesh.varadha@manabadi.siliconandhra.org,sridevi.ganti@manabadi.siliconandhra.org"
Montebello,TRUE,"618, Howard Avenue, Montebello, CA, 90640, United States","{
  ""geo"": {
    ""lat"": ""34.020675799999992"",
    ""long"": ""-118.10928530000001""
  }
}",USA-West,"sarvani.vanga@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Thousand Oaks (Goebel Senior Adult Center),TRUE,"1385, East Janss Road, Thousand Oaks, CA, 91362, United States","{
  ""geo"": {
    ""lat"": ""34.2008501"",
    ""long"": ""-118.85383939999997""
  }
}",USA-West,"dileep.madireddy@manabadi.siliconandhra.org,siddu.yadalla@manabadi.siliconandhra.org"
Torrance,TRUE,"3455, Torrance Boulevard, Torrance, CA, 90503, United States","{
  ""geo"": {
    ""lat"": ""33.8377793"",
    ""long"": ""-118.3459947""
  }
}","USA-West,LA","vishnupriya.vemuri@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org,krishna.kakatur@manabadi.siliconandhra.org"
Upland/Rancho Cucamonga,TRUE,"9791 Arrow Route, Rancho Cucamonga, CA 91730, USA","{
  ""geo"": {
    ""lat"": ""34.098654"",
    ""long"": ""-117.59145089999998""
  }
}","USA-West,LA",dileep.madireddy@manabadi.siliconandhra.org
Culver City,TRUE,"4117 Overland Ave, Culver City, CA 90230, USA","{
  ""geo"": {
    ""lat"": ""34.012952"",
    ""long"": ""-118.4025269""
  }
}","USA-West,LA","radhakrishna.mamidibathula@manabadi.siliconandhra.org,dileep.madireddy@manabadi.siliconandhra.org"
Oak Park,TRUE,"5450, Churchwood Drive, Oak Park, CA, 91377, United States","{
  ""geo"": {
    ""lat"": ""34.1798168"",
    ""long"": ""-118.77510080000002""
  }
}","USA-West,LA","dileep.madireddy@manabadi.siliconandhra.org,sirisha.potluri@manabadi.siliconandhra.org"
Placentia,TRUE,"18200, Yorba Linda Boulevard, Yorba Linda, CA, 92866, United States","{
  ""geo"": {
    ""lat"": ""33.888265099999991"",
    ""long"": ""-117.81541570000002""
  }
}","USA-West,LA","dileep.madireddy@manabadi.siliconandhra.org,radhika.golla@manabadi.siliconandhra.org"
Hollywood (Kings Learning Center),TRUE,"5322, Wilshire Boulevard, Los Angeles, CA, 90036, United States","{
  ""geo"": {
    ""lat"": ""34.062032999999992"",
    ""long"": ""-118.34486049999998""
  }
}","USA-West,LA","dileep.madireddy@manabadi.siliconandhra.org,chakri.badabagni@manabadi.siliconandhra.org"
Livermore,TRUE,"5280 Irene Way, Livermore, CA 94550, USA","{
  ""geo"": {
    ""lat"": ""37.684367699999989"",
    ""long"": ""-121.72847200000001""
  }
}","USA-West,North Cal",kumar.tadikamalla@manabadi.siliconandhra.org
Cupertino (Fremont High School),TRUE,"575 W Fremont Ave, Sunnyvale, CA 94087, USA","{
  ""geo"": {
    ""lat"": ""37.3526157"",
    ""long"": ""-122.03499979999998""
  }
}","USA-West,North Cal","ratnamala.vanka@manabadi.siliconandhra.org,pavankumar.adiraju@manabadi.siliconandhra.org,punita.ojha@manabadi.siliconandhra.org"
San Rafael,TRUE,"4221 Shelter Bay Ave, Mill Valley, CA 94941, USA","{
  ""geo"": {
    ""lat"": ""37.891951"",
    ""long"": ""-122.519137""
  }
}","USA-West,North Cal",mukund.gorla@manabadi.siliconandhra.org
Natomas - Sacramento,TRUE,"180 Vista Cove Cir, Sacramento, CA 95835, USA","{
  ""geo"": {
    ""lat"": ""38.6596003"",
    ""long"": ""-121.54409190000001""
  }
}","USA-West,North Cal","bhaskar.vempati@manabadi.siliconandhra.org,usha.mandadi@manabadi.siliconandhra.org"
Fremont South (Mission San Jose High School),TRUE,"41717, Palm Avenue, Fremont, CA, 94539, United States","{
  ""geo"": {
    ""lat"": ""37.5442976"",
    ""long"": ""-121.93379800000002""
  }
}","USA-West,North Cal",sridevi.ganti@manabadi.siliconandhra.org
Roseville - Sacramento,TRUE,"5145 Topaz Ave, Rocklin, CA 95677, United States","{
  ""geo"": {
    ""lat"": ""38.792736"",
    ""long"": ""-121.25223800000003""
  }
}","USA-West,North Cal","sridevi.ganti@manabadi.siliconandhra.org,bhaskar.vempati@manabadi.siliconandhra.org"
Folsom-Sacramento,TRUE,"735, Halidon Way, Folsom, CA, 95630, United States","{
  ""geo"": {
    ""lat"": ""38.650160000000007"",
    ""long"": ""-121.131887""
  }
}","USA-West,North Cal","nag.dondapati@manabadi.siliconandhra.org,sridevi.ganti@manabadi.siliconandhra.org"
Fremont North (American High School),TRUE,"36300 Fremont Blvd, Fremont, CA 94536, USA","{
  ""geo"": {
    ""lat"": ""37.5644828"",
    ""long"": ""-122.0164373""
  }
}","USA-West,North Cal","vandana.ginjupalli@manabadi.siliconandhra.org,sridevi.ganti@manabadi.siliconandhra.org"
Mountain House,TRUE,"Mountain House High School, 1090 Central Pkwy, Mountain House, CA, United States","{
  ""geo"": {
    ""lat"": ""37.7647543"",
    ""long"": ""-121.54643620000002""
  }
}","USA-West,North Cal","venu.kala@manabadi.siliconandhra.org,swetha.pallapothu@manabadi.siliconandhra.org"
Rancho Cordova - Robert J. McGarvey Elementary School,TRUE,"Sophistry Dr, Rancho Cordova, CA 95742, USA","{
  ""geo"": {
    ""lat"": ""38.5450755"",
    ""long"": ""-121.23256329999998""
  }
}","USA-West,North Cal","dinakar.gundimeda@manabadi.siliconandhra.org,bhaskar.vempati@manabadi.siliconandhra.org"
"San Diego L3 (4S-Ranch, Poway)",TRUE,"10720 Thornmint Rd, San Diego, CA 92127, United States","{
  ""geo"": {
    ""lat"": ""33.018225"",
    ""long"": ""-117.10569299999997""
  }
}","USA-West,San Diego","rajyalakshmi.addepalli@manabadi.siliconandhra.org,venkatamahesh.koya@manabadi.siliconandhra.org"
San Diego Center,TRUE,"9230, Gold Coast Drive, San Diego, CA, 92126, United States","{
  ""geo"": {
    ""lat"": ""32.9068952"",
    ""long"": ""-117.1254755""
  }
}","USA-West,San Diego","rajyalakshmi.addepalli@manabadi.siliconandhra.org,venkatamahesh.koya@manabadi.siliconandhra.org"
Richmond,TRUE,"6051, Springfield Road, Glen Allen, VA, 23060, United States","{
  ""geo"": {
    ""lat"": ""37.669886000000012"",
    ""long"": ""-77.539286""
  }
}","Virginia,USA-South East","ramaprasad.suribhotla@manabadi.siliconandhra.org,padmaja.dhanalakota@manabadi.siliconandhra.org"
"Roanoke,VA",TRUE,"6335, Sandhurst Drive, Cave Spring, VA, 24018, United States","{
  ""geo"": {
    ""lat"": ""37.222284"",
    ""long"": ""-80.041428900000028""
  }
}","Virginia,USA-South East",bush.kavuru@manabadi.siliconandhra.org
Gainsville - Bristow (Manassas - Haymarket),TRUE,"10844 Clara Barton Dr, Bristow, Virginia 20136, United States","{
  ""geo"": {
    ""lat"": ""38.7210912"",
    ""long"": ""-77.555668500000024""
  }
}","Virginia,USA-South East",madhuri.dasari@manabadi.siliconandhra.org
Chantilly - Franklin Middle School,TRUE,"3300, Lees Corner Road, Chantilly, VA, 20151, United States","{
  ""geo"": {
    ""lat"": ""38.9071034"",
    ""long"": ""-77.42050949999998""
  }
}","Virginia,USA-South East","giri.kosaraju@manabadi.siliconandhra.org,raj.kovvali@manabadi.siliconandhra.org"
Tysons Area (Marshall High School--Falls Church / McLean / Vienna),TRUE,"7731 Leesburg Pike, Falls Church, VA 22043, USA","{
  ""geo"": {
    ""lat"": ""38.905143500000008"",
    ""long"": ""-77.212874399999976""
  }
}","Virginia,USA-South East","punita.ojha@manabadi.siliconandhra.org,chandra.bhimaraju@manabadi.siliconandhra.org"
"Canberra, Australia",TRUE,,"{
  ""geo"": null
}",Australia,
Hong Kong (HKSAR),TRUE,,"{
  ""geo"": null
}",Hong Kong,
Central Fremont,TRUE,"Fremont Adult and Continuing Education, 4700 Calaveras Ave, Fremont, CA 94538","{
  ""geo"": {
    ""lat"": ""37.538422999999987"",
    ""long"": ""-121.9910691""
  }
}","North Cal,USA-West",suneela.pavuluru@manabadi.siliconandhra.org
